a34,l0,0
a17,l0,0
a18,l0,0
a19,l0,0
a20,l0,0
a21,l0,0
a99,l0,0
a00,l0,0
a01,l0,0
a02,l0,0
a03,l0,0
a04,l0,0
a48,l0,0
a49,l0,0
a50,l0,0
a51,l0,0
a52,l0,0
a53,l0,0
a83,l0,0
a84,l0,0
a41,l1,1
a41,l2,1
a42,l1,1
a42,l2,1
a43,l1,1
a43,l2,1
a44,l1,1
a44,l2,1
a45,l1,1
a45,l2,1
a46,l1,1
a46,l2,1
a47,l1,1
a47,l2,1
a76,l1,1
a76,l2,1
a77,l1,1
a77,l2,1
a78,l1,1
a78,l2,1
a24,l2,2
a24,l0,2
a25,l2,2
a25,l0,2
a26,l2,2
a26,l0,2
a27,l2,2
a27,l0,2
a69,l2,2
a69,l0,2
a70,l2,2
a70,l0,2
a71,l2,2
a71,l0,2
a72,l2,2
a72,l0,2
a73,l2,2
a73,l0,2
a74,l2,2
a74,l0,2
a76,l1,3
a77,l1,3
a78,l1,3
a79,l1,3
a80,l1,3
a81,l1,3
a82,l1,3
a28,l1,3
a29,l1,3
a30,l1,3
a29,l1,4
a30,l1,4
a31,l1,4
a32,l1,4
a33,l1,4
a34,l1,4
a17,l1,4
a18,l1,4
a19,l1,4
a20,l1,4
a21,l1,4
a99,l1,4
a00,l1,4
a01,l1,4
a02,l1,4
a85,l1,5
a85,l2,5
a85,l0,5
a86,l1,5
a86,l2,5
a86,l0,5
a87,l1,5
a87,l2,5
a87,l0,5
a88,l1,5
a88,l2,5
a88,l0,5
a89,l1,5
a89,l2,5
a89,l0,5
a90,l1,5
a90,l2,5
a90,l0,5
a05,l1,5
a05,l2,5
a05,l0,5
a06,l1,5
a06,l2,5
a06,l0,5
a07,l1,5
a07,l2,5
a07,l0,5
a08,l1,5
a08,l2,5
a08,l0,5
