1,91,91
1,92,91
1,92,92
1,93,93
1,94,92
1,94,93
1,94,94
1,95,92
1,33,32
1,33,33
1,34,32
1,34,33
1,35,31
1,35,33
1,35,35
1,36,31
1,36,33
1,36,35
1,36,36
1,37,32
1,37,33
1,37,36
1,38,32
1,38,34
1,38,35
1,39,32
1,39,35
1,39,36
1,39,37
1,40,31
1,40,34
1,40,36
1,40,39
1,40,40
1,41,41
1,42,42
1,43,41
1,43,42
1,44,44
1,45,41
1,45,42
1,45,45
1,46,41
1,46,42
1,46,45
1,46,46
1,47,41
1,47,44
1,47,46
1,48,41
1,48,42
1,48,43
1,48,44
1,49,41
1,49,44
1,49,46
1,49,47
1,50,42
1,50,43
1,50,46
1,50,47
1,50,49
1,51,51
1,52,52
1,53,53
1,54,54
1,55,51
1,55,52
1,55,54
1,55,55
1,56,51
1,56,53
1,56,55
1,56,56
1,57,55
1,57,57
1,58,51
1,58,54
1,58,55
1,58,56
1,58,57
1,58,58
1,59,51
1,59,52
1,59,55
1,59,59
1,60,57
1,60,58
1,61,61
1,62,62
1,63,63
1,64,61
1,64,64
1,65,62
1,65,63
1,65,64
1,65,65
1,67,61
1,67,63
1,67,64
1,67,67
1,68,62
1,68,64
1,68,65
1,69,61
1,69,62
1,69,64
1,69,65
1,69,66
1,69,67
1,69,69
1,70,65
1,70,66
1,70,67
1,70,68
1,1,1
1,2,1
1,2,2
1,3,1
1,3,2
1,4,1
1,4,3
1,5,1
1,5,5
1,6,1
1,6,3
1,6,4
1,6,5
1,6,6
1,7,1
1,7,2
1,7,4
1,7,7
1,8,2
1,8,5
1,8,6
1,8,8
1,9,3
1,9,4
1,9,5
1,9,6
1,9,9
1,10,2
1,10,3
1,10,6
1,10,8
1,10,9
1,10,10
1,98,72
1,96,89
1,91,13
1,97,23
1,97,39
1,97,49
1,92,58
1,94,64
1,96,6
1,72,87
1,79,17
1,78,27
1,72,39
1,79,46
1,76,52
1,79,63
1,77,5
1,89,16
1,88,29
1,85,38
1,90,47
1,83,53
1,88,63
1,85,7
1,18,23
1,16,36
1,13,44
1,15,54
1,17,68
1,16,2
1,26,35
1,25,42
1,21,58
1,22,68
1,24,1
1,36,50
1,34,57
1,33,64
1,33,10
1,41,51
1,46,66
1,43,1
1,53,62
1,57,4
1,61,2
1,95,93
1,96,96
1,97,91
1,97,93
1,97,94
1,97,95
1,98,92
1,98,94
1,98,95
1,98,96
1,98,98
